,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,74660,15,0,0,2,0,0,1,0,0,0,0,86,0,0
Bot,6,1581,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,0,0,3803,0,0,0,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,1,0,0,0,0,1,3192,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0
DoS attacks-Hulk,0,0,0,0,0,0,0,1,2560,0,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,381,0,395,0,0,0
DoS attacks-Slowloris,2,0,0,0,0,0,0,0,0,0,59,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,120,0,952,0,0,0
Infilteration,828,0,0,0,0,0,0,0,0,0,0,0,70,0,0
SQL Injection,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040
